"Default_Text"|"Translated_Text"
"Teaching Needles should be present in Waste Block."|"Teaching Needles should be present in the Waste Block."
"Temperature Measurement Device :"|"Temperature Measurement Device :"
"Temperature Verification"|"Temperature Verification"
"Temperature Verification failed!"|"Temperature Verification failed!"
"Temperature Verification of"|"Temperature Verification of"
"Temperature Verification of Heating and Cooling Devices:"|"Temperature Verification of Heating and Cooling Devices:"
"Temperature out of range."|"Temperature out of range."
"Terminate communication to balance"|"Terminate communication to the Balance"
"Test Equipment Definitions:"|"Test Equipment Definitions:"
"Test result 'confirmed': Operator confirmed that verification was carried out individually and did pass specifications."|"Test result 'confirmed': Operator confirmed the Verification was carried out independently and passed the specifications."
"Test result 'exclude': Operator confirmed the Verification of this device was excluded."|"Test result 'exclude': Operator confirmed the Verification of this device was excluded."
"The Balance Check was successful!"|"The Balance Check was successful!"
"The Balance is still in the Warm-up period"|"The Balance is still in the Warm-up period"
"The Balance needs to be checked."|"The Balance needs to be checked."
"The Balance was checked today."|"The Balance was checked today."
"The Front Cover is locked."|"The Front Cover is locked."
"The Front Cover should not be locked"|"The Front Cover should not be locked"
"The Front and Side Cover are locked."|"The Front and Side Covers are locked."
"The Reader384 Check was successful!"|"The Reader384 Check was successful!"
"The Reader384 function check failed !"|"The Reader384 function check failed !"
"The Reader384 set to INVALID due to:"|"The Reader384 set to INVALID due to:"
"The Reader384 was checked today."|"The Reader384 was checked today."
"The Verification step will be skipped."|"The Verification step will be skipped."
"The following 'Verification Processes' are available :"|"The following 'Verification Processes' are available :"
"The following reasons may cause weight measurement problems:"|"The following reasons may cause weight measurement problems:"
"Track / Site- Position:"|"Track / Site- Position:"
"Turn and place the Pipetted Plate with position 'A1'"|"Turn and place the Pipetted Plate with position 'A1'"
"Type 30ul"|"Type 30ul"
"USB Cable to PC"|"USB Cable to PC"
"USB cable can be disconnected from PC."|"USB cable can be disconnected from the PC."
"Unload the Reader Checkplate from the Reader384:"|"Unload the Reader Check Plate from the Reader384:"
"Unloading Information:"|"Unloading information:"
"Unstable Weight Measurement:"|"Unstable Weight Measurement:"
"Unstable weight measurement can cause a failed Volume Verification!"|"Unstable weight measurement can cause a failed Volume Verification!"
"Unstable weight measurement on the Balance!"|"Unstable weight measurement on the Balance!"
"Used Tip Racks must be removed!"|"Used Tip Racks must be removed!"
"User Message:"|"User Message:"
"User Selection:"|"User Selection:"
"User Software Version:"|"User Software Version:"
"User information:"|"User information:"
"VERIFICATION FAILED!"|"VERIFICATION FAILED!"
"VERIFICATION NOT IMPLEMENTED!"|"VERIFICATION NOT IMPLEMENTED!"
"VERIFICATION SKIPPED"|"VERIFICATION SKIPPED"
"VERIFICATION STOPPED"|"VERIFICATION STOPPED"
"Verification Completed:"|"Verification Completed:"
"Verification Installation Error:"|"Verification Installation Error:"
"Verification Reason :"|"Verification Reason :"
"Verification Solution ( HVS )"|"Verification Solution ( HVS )"
"Verification Solution Kit Lot No. :"|"Verification Solution Kit Lot No. :"
"Verification Tool Definitions:"|"Verification Tool Definitions:"
"Verification for at least one process is required!"|"Verification of at least one process is required!"
"Verification not foreseen for this User Software Version"|"Verification not foreseen for this User Software Version"
"Verification status is set to 'Failed'."|"Verification Status is set to 'Failed'."
"Verification status will not be changed."|"Verification Status will not be changed."
"Version:"|"Version:"
"Vial Windshield should be onto the Balance."|"Vial Windshield should be onto the Balance."
"Vibrations on the Deck"|"Vibrations on the Deck"
"Volume Verification 1000ul"|"Volume Verification 1000µl"
"Volume Verification 1000µl Pipetting Channels"|"Volume Verification 1000µl Pipetting Channels"
"Volume Verification 10ul"|"Volume Verification 10µl"
"Volume Verification 300ul"|"Volume Verification 300µl"
"Volume Verification 5ml Pipetting Channels"|"Volume Verification 5ml Pipetting Channels"
"Volume Verification 5ul"|"Volume Verification 5µl"
"Volume Verification CO-RE 384-Probe Head"|"Volume Verification CO-RE 384-Probe Head"
"Volume Verification CO-RE 384-Probe Head at : 2ul"|"Volume Verification CO-RE 384-Probe Head at : 2µl"
"Volume Verification CO-RE 384-Probe Head at : 50ul"|"Volume Verification CO-RE 384-Probe Head at : 50µl"
"Volume Verification CO-RE 96-Probe Head"|"Volume Verification CO-RE 96-Probe Head"
"Volume Verification during first three cycles failed - continue?"|"Volume Verification during first three cycles failed - continue?"
"Volume Verification failed during measurement of first three cycles\nfor channels (%s1) to (%s2).\n\nContinue verification?"|"Volume Verification failed during measurement of the first three cycles\nfor Channels (%s1) to (%s2).\n\nContinue Verificatio"
"Volume Verification failed for channel:"|"Volume Verification failed for Channel:"
"Volume Verification for CO-RE 384-Probe Head"|"Volume Verification for CO-RE 384-Probe Head"
"Volume Verification for CO-RE 96-Probe Head"|"Volume Verification for CO-RE 96-Probe Head"
"Volume Verification:"|"Volume Verification:"
"WARNING:"|"WARNING:"
"Warm-up time of the Balance is at least 30 minutes!"|"Warm-up time of the Balance is at least 30 minutes!"
"Weight Measurment"|"Weight Measurment"
"Weight no (%s1) for channel (%s2): Weight=(%s3) [mg] -> Volume=(%s4) [µl]"|"Weight no. (%s1) for Channel (%s2): Weight=(%s3) [mg] -> Volume=(%s4) [µl]"
"Wind: Prevent drafts inside the Instrument"|"Wind: Prevent drafts inside the Instrument"
"Wrong Labware loaded on the Balance:"|"Wrong Labware loaded on the Balance:"
"Wrong labware loaded on the Balance !"|"Wrong Labware loaded on the Balance !"
"Yes"|"Yes"
"[°C]        Range of temperature value: 0.1 .. 99.9°C"|"[°C]        Range of Temperature Value: 0.1 .. 99.9°C"
"and cover it with the Vial Windshield."|"and cover it with the Vial Windshield."
"and place it onto the Vial platform."|"and place it onto the Weighing Platform."
"and place the Windshield back onto the Balance."|"and place the Windshield back onto the Balance."
"and the 384 Windshield back onto the Balance."|"and the 384 Windshield back onto the Balance."
"and the 96 Windshield back onto the Balance."|"and the 96 Windshield back onto the Balance."
"and the Vial Windshield back onto the Balance."|"and the Vial Windshield back onto the Balance."
"and then 96 Plate Bar from the Reader384."|"and then 96 Plate Bar from the Reader384."
"and will be used for further verification steps,"|"and will be used for further verification steps,"
"at rack position 'A1'"|"at rack position 'A1'"
"at rack position 'A1' and 'C1'"|"at rack position 'A1' and 'C1'"
"black 50µl 384 Tip Rack"|"black 50µl 384 Tip Rack"
"can NOT be executed!"|"can NOT be executed!"
"channel (%s1): Position Verification failed, measurement not completed."|"channel (%s1): Position Verification failed, measurement not completed."
"channel (%s1): Position position verification failed, measurement not completed."|"channel (%s1): Position position verification failed, measurement not completed."
"channel (%s1): deviation x=(%s2) [mm]"|"channel (%s1): deviation x=(%s2) [mm]"
"channel (%s1): deviation y=(%s2) [mm]"|"channel (%s1): deviation y=(%s2) [mm]"
"channel (%s1): deviation z=(%s2) [mm]"|"channel (%s1): deviation z=(%s2) [mm]"
"channel (%s1): x position verification failed!"|"Channel (%s1): X Position Verification failed!"
"channel (%s1): y position verification failed!"|"Channel (%s1): Y Position Verification failed!"
"channel (%s1): z position verification failed!"|"Channel (%s1): Z Position Verification failed!"
"clear 50µl 384 Tip Rack"|"clear 50µl 384 Tip Rack"
"confirmed"|"confirmed"
"defaultText =>"|"defaultText =>"
"do not remove the Balance from the Deck!"|"do not remove the Balance from the Deck!"
"excluded"|"excluded"
"failed"|"failed"
"from Balance"|"from Balance"
"from balance"|"from Balance"
"from position"|"from position"
"from the Vial platform."|"from the Weighing Platform."
"in the Tip Rack positions 'A1', 'C1', 'E1', 'G1'"|"in the Tip Rack positions 'A1', 'C1', 'E1', 'G1'"
"invalid"|"invalid"
"located on deck position:"|"located on Deck position:"
"not installed"|"not installed"
"on Carrier Pos."|"on Carrier Pos."
"on Pos. 2: 1 Teaching Needle in Tip Rack"|"on Pos. 2: 1 Teaching Needle in the Tip Rack"
"on Reagent Carrier Pos."|"on Reagent Carrier Pos."
"onto the Reader384"|"onto the Reader384"
"passed"|"passed"
"respectively in X- / Y- coordinate [mm]:"|"respectively in X- / Y- coordinate [mm]:"
"successful"|"successful"
"the Balance (push to the rear, right position)."|"the Balance (push to the rear, right position)."
"the Centering Carrier on deck."|"the Centering Carrier on the deck."
"the Measurement Vial"|"the Measurement Vial"
"the Reagent Carrier onto the Balance."|"the Reagent Carrier onto the Balance."
"the Vial Platform and the Centering Ring"|"the Weighing Platform and the Platform Ring"
"the Vial Platform and the Centering Ring onto the Balance."|"the Weighing Platform and the Platform Ring onto the Balance."
"the Vial Windshield onto the Balance."|"the Vial Windshield onto the Balance."
"to the left, front corner."|"to the left, front corner."
"to the right, rear corner."|"to the right, rear corner."
"track '%s1' / site '%s2'"|"track '%s1' / site '%s2'"
"valid"|"valid"
